Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.27027028,-370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.1,+310,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.23529412,-425,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.35,+235,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.32258065,-310,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.3,+330,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.22222223,-450,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.5,+350,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.21052632,-475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,5.5,+450,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.15384616,-650,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,5.25,+425,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.16666667,-600,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,5.75,+475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.14285715,-700,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.5,+250,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.30303031,-330,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.9,+290,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25641026,-390,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.8,+280,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.27027028,-370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.5,+350,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.21052632,-475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.1,+310,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.23529412,-425,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.95,+295,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25,-400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.4,+240,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3125,-320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.15,+215,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3508772,-285,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.0,+200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3773585,-265,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,5.0,+400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.18181819,-550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,6.0,+500,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.13333334,-750,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,5.0,+400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.17391305,-575,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.8,+280,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.27027028,-370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,6.5,+550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.125,-800,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.6,+260,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.29411765,-340,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,7.0,+600,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.1,-1000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.7,+370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.2,-500,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.45,+245,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3125,-320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.9,+290,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25641026,-390,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.2,+320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.23529412,-425,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.4,+340,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.21052632,-475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.9,+290,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25641026,-390,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.15,+215,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3508772,-285,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.8,+380,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.1904762,-525,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.9,+390,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.18181819,-550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.0,+200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3773585,-265,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.5,+250,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.30303031,-330,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.0,+300,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25,-400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.55,+255,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.29411765,-340,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.2,+320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.22222223,-450,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,2.85,+185,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.41666667,-240,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,6.5,+550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.11111112,-900,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,7.5,+650,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.0909091,-1100,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.3,+330,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.22222223,-450,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,8.5,+750,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.07142858,-1400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.0,+300,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25,-400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.4,+240,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3125,-320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.75,+275,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.27027028,-370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.4,+240,key
