Key,Date,League,Teams,Name,Category,Side,Designation,Points,PN American Odds,PN Decimal Odds,PN Fair Odds
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. O'Hearn,Home Runs,,over,0.5,666,7.66,714
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. O'Hearn,Home Runs,,under,0.5,-1382,1.0723589001447178,-714
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. O'Hearn,Total Bases,,over,1.5,138,2.38,156
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. O'Hearn,Total Bases,,under,1.5,-189,1.529100529100529,-156
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Wong,Home Runs,,over,0.5,895,9.95,953
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Wong,Home Runs,,under,0.5,-2286,1.0437445319335084,-953
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Wong,Total Bases,,over,1.5,141,2.41,159
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),C. Wong,Total Bases,,under,1.5,-194,1.5154639175257731,-159
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Mountcastle,Home Runs,,over,0.5,579,6.79,623
pp;0;ou;hr;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Mountcastle,Home Runs,,under,0.5,-1106,1.0904159132007234,-623
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Mountcastle,Total Bases,,over,1.5,120,2.2,136
pp;0;ou;tb;1.5,2024-08-15,MLB,BOS(away) vs BAL(home),R. Mountcastle,Total Bases,,under,1.5,-161,1.62111801242236,-136
pp;0;ou;tb;0.5,2024-08-15,MLB,BOS(away) vs BAL(home),D. Hamilton,Total Bases,,over,0.5,-145,1.6896551724137931,-124
