Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Whyle,0.5,13.0,1200,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Chestnut,0.5,16.0,1500,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Hill,0.5,19.0,1800,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,N. Westbrook-Ikhine,0.5,20.0,1900,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,N. Vannett,0.5,21.0,2000,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,D. Smythe,0.5,23.0,2200,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,A. Ingold,0.5,23.0,2200,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Conner,0.5,29.0,2800,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Passing Yards,over,,T. Huntley,165.5,1.9091,-110,pp;0;ou;pay;165.5,2024-09-30
TEN(away) vs MIA(home),NFL,Passing Yards,under,,T. Huntley,165.5,1.8334,-120,pp;0;ou;pay;165.5,2024-09-30
TEN(away) vs MIA(home),NFL,Passing Yards,over,,W. Levis,195.5,1.8334,-120,pp;0;ou;pay;195.5,2024-09-30
TEN(away) vs MIA(home),NFL,Passing Yards,under,,W. Levis,195.5,1.9091,-110,pp;0;ou;pay;195.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Passing Touchdowns,over,,T. Huntley,0.5,1.5,-200,pp;0;ou;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Passing Touchdowns,under,,T. Huntley,0.5,2.5,150,pp;0;ou;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Passing Touchdowns,over,,W. Levis,0.5,1.4167,-240,pp;0;ou;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Passing Touchdowns,under,,W. Levis,0.5,2.75,175,pp;0;ou;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Pass Attempts,over,,W. Levis,30.5,1.9091,-110,pp;0;ou;pat;30.5,2024-09-30
TEN(away) vs MIA(home),NFL,Pass Attempts,under,,W. Levis,30.5,1.8334,-120,pp;0;ou;pat;30.5,2024-09-30
TEN(away) vs MIA(home),NFL,Pass Attempts,over,,T. Huntley,25.5,2.05,105,pp;0;ou;pat;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Pass Attempts,under,,T. Huntley,25.5,1.7143,-140,pp;0;ou;pat;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Pass Completions,over,,W. Levis,18.5,1.8,-125,pp;0;ou;com;18.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Pass Completions,under,,W. Levis,18.5,1.9524,-105,pp;0;ou;com;18.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Pass Completions,over,,T. Huntley,16.5,2.1,110,pp;0;ou;com;16.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback Pass Completions,under,,T. Huntley,16.5,1.6897,-145,pp;0;ou;com;16.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,T. Huntley,149.5,1.5715,-175,pp;0;ss;tdp;149.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,T. Huntley,174.5,2.2,120,pp;0;ss;tdp;174.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,T. Huntley,199.5,3.6,260,pp;0;ss;tdp;199.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,T. Huntley,224.5,6.0,500,pp;0;ss;tdp;224.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,T. Huntley,249.5,12.0,1100,pp;0;ss;tdp;249.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,149.5,1.1819,-550,pp;0;ss;tdp;149.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,174.5,1.4445,-225,pp;0;ss;tdp;174.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,199.5,1.9091,-110,pp;0;ss;tdp;199.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,224.5,2.85,185,pp;0;ss;tdp;224.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,249.5,4.3,330,pp;0;ss;tdp;249.5,2024-09-30
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,274.5,7.0,600,pp;0;ss;tdp;274.5,2024-09-30
