Teams,League,Category,Designation,Side,Name,Points,FD Decimal Odds,FD American Odds,Key,Date
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Rojas,1.5,10.5,950,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,Moneyline,,away,,0.0,2.1,110,s;0;m,2024-08-08
PHI(away) vs ARI(home),MLB,Moneyline,,home,,0.0,1.769230769230769,-130,s;0;m,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,J. Rojas,0.5,3.6,260,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,J. McCarthy,0.5,4.3,330,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,W. Wilson,0.5,4.65,365,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,T. Turner,0.5,5.1,410,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,E. Sosa,0.5,7.8,680,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,K. Newman,0.5,8.5,750,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,B. Harper,0.5,8.5,750,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,G. Perdomo,0.5,8.9,790,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,J. Realmuto,0.5,8.9,790,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,L. Gurriel,0.5,10.0,900,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,A. Bohm,0.5,11.2,1020,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record a Stolen Base,over,,K. Marte,0.5,11.2,1020,pp;0;ss;sb;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,7.5,1.3125,-320,s;0;ou;7.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,8.5,1.454545454545455,-220,s;0;ou;8.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,9.5,1.72463768115942,-138,s;0;ou;9.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,10.5,2.0,100,s;0;ou;10.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,11.5,2.48,148,s;0;ou;11.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,12.5,2.96,196,s;0;ou;12.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,13.5,3.65,265,s;0;ou;13.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,14.5,4.5,350,s;0;ou;14.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,over,,,15.5,5.8,480,s;0;ou;15.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,under,,,7.5,3.35,235,s;0;ou;7.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,under,,,8.5,2.68,168,s;0;ou;8.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,under,,,9.5,2.08,108,s;0;ou;9.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,under,,,10.5,1.78125,-128,s;0;ou;10.5,2024-08-08
PHI(away) vs ARI(home),MLB,Alternate Total Runs,under,,,11.5,1.520833333333333,-192,s;0;ou;11.5,2024-08-08
