Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
Game,490457434,TEX(away) vs BOS(home),MLB,under,,9.0,s;0;ou;9,-110,1.91,total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,,away,0.5,s;-1;s;-0.5,-135,1.74,spread,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,,away,,s;-1;m,105,2.05,moneyline,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,over,away,2.5,s;-1;tt;2.5;away,125,2.25,team_total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,under,away,2.5,s;-1;tt;2.5;away,-155,1.65,team_total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,,home,-0.5,s;-1;s;-0.5,115,2.15,spread,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,,home,,s;-1;m,-125,1.8,moneyline,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,over,home,2.5,s;-1;tt;2.5;home,100,2.0,team_total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,under,home,2.5,s;-1;tt;2.5;home,-130,1.77,team_total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,over,,5.0,s;-1;ou;5,105,2.05,total,2024-08-12,
1st 5 Innings,490457434,TEX(away) vs BOS(home),MLB,under,,5.0,s;-1;ou;5,-125,1.8,total,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,,away,1.5,s;0;s;-1.5,-160,1.62,spread,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,,away,,s;0;m,142,2.42,moneyline,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,over,away,3.5,s;0;tt;3.5;away,-120,1.83,team_total,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,under,away,3.5,s;0;tt;3.5;away,-110,1.91,team_total,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,,home,-1.5,s;0;s;-1.5,140,2.4,spread,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,,home,,s;0;m,-155,1.65,moneyline,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,over,home,4.5,s;0;tt;4.5;home,-105,1.95,team_total,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,under,home,4.5,s;0;tt;4.5;home,-125,1.8,team_total,2024-08-12,
