Key,Designation,Name,Date,Teams,League,Category,Side,Points,PN Decimal Odds,PB Decimal Odds,DK Decimal Odds,FD Decimal Odds,PN American Odds,PB American Odds,DK American Odds,FD American Odds,PN Fair Odds,Best Deal,Fair Odds Ratio,arb ROI%
pp;0;ou;pay;165.5,under,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8334,,,,-120.0,,,,-120.0,,-6.477732793522262
pp;0;ou;pay;195.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8334,1.86956522,,,-120.0,-115.0,,,-115.0,,-5.543933054393301
pp;0;ou;pay;195.5,under,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.9091,1.86956522,,,-110.0,-115.0,,,-110.0,,-5.543933054393301
pp;0;ou;tdp;0.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Passing TDs,,0.5,1.526315789473684,1.5,1.54054055,1.505050505050505,-190.0,-200.0,-185.0,-198.0,-166.0,-185.0,0.8972973130000002,-4.249385830954111
pp;0;ou;tdp;0.5,under,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Passing TDs,,0.5,2.53,2.5,,2.5,153.0,150.0,,150.0,166.0,153.0,0.9036144578313252,-4.249385830954111
pp;0;ou;tdp;0.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,Will Levis - Passing TDs,,0.5,1.3968253968253967,1.4167,1.42553192,1.408163265306122,-252.0,-240.0,-235.0,-245.0,-211.0,-235.0,0.8978723512000001,-3.8901045465596917
pp;0;ou;tdp;0.5,under,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,Will Levis - Passing TDs,,0.5,2.95,2.75,,2.82,195.0,175.0,,182.0,211.0,195.0,0.8625592417061612,-3.8901045465596917
pp;0;ou;pat;30.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.9091,,,,-110.0,,,,-110.0,,-6.477732793522262
pp;0;ou;pat;30.5,under,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8334,,,,-120.0,,,,-120.0,,-6.477732793522262
pp;0;ou;pat;25.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,2.05,,,,105.0,,,,105.0,,-6.641366223908907
pp;0;ou;pat;25.5,under,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.7143,,,,-140.0,,,,-140.0,,-6.641366223908907
pp;0;ou;com;18.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,Will Levis - Pass Completions,,18.5,,1.8,,1.833333333333333,,-125.0,,-120.0,,-120.0,,-5.45073375262054
pp;0;ou;com;18.5,under,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,Will Levis - Pass Completions,,18.5,,1.9524,,1.925925925925926,,-105.0,,-108.0,,-105.0,,-5.45073375262054
pp;0;ou;com;16.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Pass Completions,,16.5,2.1,2.1,2.05,2.08,110.0,110.0,105.0,108.0,120.0,110.0,0.9166666666666666,-4.656577415599539
pp;0;ou;com;16.5,under,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Pass Completions,,16.5,1.7462686567164178,1.6897,1.74074075,1.714285714285714,-134.0,-145.0,-135.0,-140.0,-120.0,-134.0,0.8888888999999999,-4.656577415599539
pp;0;ss;tdp;149.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.5715,,,,-175.0,,,,-175.0,,
pp;0;ss;tdp;174.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,2.2,,,,120.0,,,,120.0,,
pp;0;ss;tdp;199.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,3.6,,,,260.0,,,,260.0,,
pp;0;ss;tdp;224.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,6.0,,,,500.0,,,,500.0,,
pp;0;ss;tdp;249.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,12.0,,,,1100.0,,,,1100.0,,
pp;0;ss;tdp;149.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.1819,,,,-550.0,,,,-550.0,,
pp;0;ss;tdp;174.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.4445,,,,-225.0,,,,-225.0,,
pp;0;ss;tdp;199.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.9091,,,,-110.0,,,,-110.0,,
pp;0;ss;tdp;224.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,2.85,,,,185.0,,,,185.0,,
pp;0;ss;tdp;249.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,4.3,,,,330.0,,,,330.0,,
pp;0;ss;tdp;274.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,7.0,,,,600.0,,,,600.0,,
pp;0;ss;tdp;299.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,14.0,,,,1300.0,,,,1300.0,,
pp;0;ou;ruy;55.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8696,,,,-115.0,,,,-115.0,,-6.521739130434789
pp;0;ou;ruy;55.5,under,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8696,,,,-115.0,,,,-115.0,,-6.521739130434789
pp;0;ou;ruy;50.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,,,,1.925925925925926,1.8696,,,-108.0,-115.0,,,102.0,-108.0,0.852549019607843,-4.537582265327311
pp;0;ou;ruy;50.5,under,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,,,,1.8928571428571428,1.8696,,,-112.0,-115.0,,,-102.0,-112.0,0.8869919999999999,-4.537582265327311
pp;0;ou;ruy;20.5,over,T. Spears,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.8,1.60606061,,,-125.0,-165.0,,,-125.0,,0.9756097560975618
pp;0;ou;ruy;20.5,under,T. Spears,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.9524,2.3,,,-105.0,130.0,,,130.0,,0.9756097560975618
pp;0;ou;ruy;30.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Rushing Yds,,30.5,,1.9091,,1.884955752212389,,-110.0,,-113.0,,-110.0,,-5.152671755725191
pp;0;ou;ruy;30.5,under,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Tyler Huntley - Rushing Yds,,30.5,,1.8334,,1.884955752212389,,-120.0,,-113.0,,-113.0,,-5.152671755725191
pp;0;ou;ruy;15.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,1.9433962264150944,1.8696,2.0,,-106.0,-115.0,100.0,,104.0,100.0,0.9615384615384615,-3.167420814479638
pp;0;ou;ruy;15.5,under,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,,,,1.8771929824561404,1.8696,1.8,,-114.0,-115.0,-125.0,,-104.0,-114.0,0.9043839999999997,-3.167420814479638
pp;0;ou;rut;12.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Tony Pollard - Rush Attempts,,12.5,,1.8334,1.8,1.833333333333333,,-120.0,-125.0,-120.0,,-120.0,,-5.45073375262054
pp;0;ou;rut;12.5,under,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Tony Pollard - Rush Attempts,,12.5,,1.9091,1.95238096,1.925925925925926,,-110.0,-105.0,-108.0,,-105.0,,-5.45073375262054
pp;0;ss;ruy;19.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.0834,,,,-1199.0,,,,-1199.0,,
pp;0;ss;ruy;34.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.2667,,,,-375.0,,,,-375.0,,
pp;0;ss;ruy;49.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,De'Von Achane - Alt Rushing Yds,,49.5,,1.625,1.54054055,1.632911392405063,,-160.0,-185.0,-158.0,,-158.0,,
pp;0;ss;ruy;49.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,De'Von Achane - Alt Rushing Yds,,49.5,,1.625,5.5,1.632911392405063,,-160.0,450.0,-158.0,,450.0,,
pp;0;ss;ruy;64.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,2.2,,,,120.0,,,,120.0,,
pp;0;ss;ruy;79.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,De'Von Achane - Alt Rushing Yds,,79.5,,3.2,3.6,3.15,,220.0,260.0,215.0,,260.0,,
pp;0;ss;ruy;94.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,5.0,,,,400.0,,,,400.0,,
pp;0;ss;ruy;109.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,De'Von Achane - Alt Rushing Yds,,109.5,,7.5,10.5,6.4,,650.0,950.0,540.0,,950.0,,
pp;0;ss;ruy;124.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,De'Von Achane - Alt Rushing Yds,,124.5,,12.0,,9.3,,1100.0,,830.0,,1100.0,,
pp;0;ss;ruy;19.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.1112,,,,-899.0,,,,-899.0,,
pp;0;ss;ruy;34.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.3637,,,,-275.0,,,,-275.0,,
pp;0;ss;ruy;49.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Tony Pollard - Alt Rushing Yds,,49.5,,1.8334,1.66666667,1.78125,,-120.0,-150.0,-128.0,,-120.0,,
pp;0;ss;ruy;49.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Tony Pollard - Alt Rushing Yds,,49.5,,1.8334,10.5,1.78125,,-120.0,950.0,-128.0,,950.0,,
pp;0;ss;ruy;64.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,2.65,,,,165.0,,,,165.0,,
pp;0;ss;ruy;79.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Tony Pollard - Alt Rushing Yds,,79.5,,4.1,4.2,4.0,,310.0,320.0,300.0,,320.0,,
