Category,Designation,Points,PN American Odds
Freddy Peralta (Earned Runs)(must start),over,2.5,114
Freddy Peralta (Earned Runs)(must start),under,2.5,-153
Freddy Peralta (Pitching Outs)(must start),over,16.5,-137
Freddy Peralta (Pitching Outs)(must start),under,16.5,100
Willy Adames (Home Runs)(must start),over,0.5,356
Willy Adames (Home Runs)(must start),under,0.5,-542
Willy Adames (Total Bases)(must start),over,1.5,131
Willy Adames (Total Bases)(must start),under,1.5,-178
Andruw Monasterio (Home Runs)(must start),over,0.5,793
Andruw Monasterio (Home Runs)(must start),under,0.5,-1852
Andruw Monasterio (Total Bases)(must start),over,0.5,-131
Andruw Monasterio (Total Bases)(must start),under,0.5,-101
Rhys Hoskins (Home Runs)(must start),over,0.5,284
Rhys Hoskins (Home Runs)(must start),under,0.5,-402
Rhys Hoskins (Total Bases)(must start),over,1.5,121
Rhys Hoskins (Total Bases)(must start),under,1.5,-162
Shohei Ohtani (Home Runs)(must start),over,0.5,229
Shohei Ohtani (Home Runs)(must start),under,0.5,-434
Shohei Ohtani (Total Bases)(must start),over,1.5,105
Shohei Ohtani (Total Bases)(must start),under,1.5,-153
William Contreras (Home Runs)(must start),over,0.5,428
William Contreras (Home Runs)(must start),under,0.5,-703
William Contreras (Total Bases)(must start),over,1.5,129
William Contreras (Total Bases)(must start),under,1.5,-176
Blake Perkins (Total Bases)(must start),over,0.5,-138
Blake Perkins (Total Bases)(must start),under,0.5,104
Gavin Lux (Total Bases)(must start),over,0.5,-167
Gavin Lux (Total Bases)(must start),under,0.5,115
Will Smith (Home Runs)(must start),over,0.5,585
Will Smith (Home Runs)(must start),under,0.5,-1122
Will Smith (Total Bases)(must start),over,0.5,-179
Will Smith (Total Bases)(must start),under,0.5,132
Sal Frelick (Total Bases)(must start),over,0.5,-181
Sal Frelick (Total Bases)(must start),under,0.5,133
Joey Ortiz (Home Runs)(must start),over,0.5,793
Joey Ortiz (Home Runs)(must start),under,0.5,-1848
Joey Ortiz (Total Bases)(must start),over,0.5,-172
Joey Ortiz (Total Bases)(must start),under,0.5,127
Jackson Chourio (Home Runs)(must start),over,0.5,554
Jackson Chourio (Home Runs)(must start),under,0.5,-1031
Jackson Chourio (Total Bases)(must start),over,1.5,122
Jackson Chourio (Total Bases)(must start),under,1.5,-164
Corey Seager (Home Runs)(must start),over,0.5,325
Corey Seager (Home Runs)(must start),under,0.5,-841
Corey Seager (Total Bases)(must start),over,1.5,-127
Corey Seager (Total Bases)(must start),under,1.5,-104
Jonah Heim (Home Runs)(must start),over,0.5,668
Jonah Heim (Home Runs)(must start),under,0.5,-1388
Jonah Heim (Total Bases)(must start),over,0.5,-204
Jonah Heim (Total Bases)(must start),under,0.5,147
Leody Taveras (Home Runs)(must start),over,0.5,725
Leody Taveras (Home Runs)(must start),under,0.5,-1590
Leody Taveras (Total Bases)(must start),over,1.5,148
Leody Taveras (Total Bases)(must start),under,1.5,-205
Brayan Bello (Total Strikeouts)(must start),over,4.5,-125
Brayan Bello (Total Strikeouts)(must start),under,4.5,-115
Brayan Bello (Hits Allowed)(must start),over,5.5,-155
Brayan Bello (Hits Allowed)(must start),under,5.5,115
Brayan Bello (Earned Runs)(must start),over,2.5,-128
Brayan Bello (Earned Runs)(must start),under,2.5,-112
Brayan Bello (Pitching Outs)(must start),over,16.5,-108
Brayan Bello (Pitching Outs)(must start),under,16.5,-127
DJ LeMahieu (Home Runs)(must start),over,0.5,906
DJ LeMahieu (Home Runs)(must start),under,0.5,-2337
DJ LeMahieu (Total Bases)(must start),over,0.5,-226
DJ LeMahieu (Total Bases)(must start),under,0.5,160
Giancarlo Stanton (Home Runs)(must start),over,0.5,233
Giancarlo Stanton (Home Runs)(must start),under,0.5,-313
Giancarlo Stanton (Total Bases)(must start),over,1.5,-116
Giancarlo Stanton (Total Bases)(must start),under,1.5,-116
Aaron Judge (Home Runs)(must start),over,0.5,173
Aaron Judge (Home Runs)(must start),under,0.5,-279
Aaron Judge (Total Bases)(must start),over,1.5,-162
Aaron Judge (Total Bases)(must start),under,1.5,110
Andrew Benintendi (Home Runs)(must start),over,0.5,607
Andrew Benintendi (Home Runs)(must start),under,0.5,-1926
Andrew Benintendi (Total Bases)(must start),over,0.5,-183
Andrew Benintendi (Total Bases)(must start),under,0.5,134
Gleyber Torres (Home Runs)(must start),over,0.5,499
