,Name,GameId,teams,League,Designation,Side,Point,Odds,Category,Units,dec_odds,PlayName
0,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,away,4.0,-109,spread,,,
1,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,away,,180,moneyline,,,
2,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,over,away,20.5,-115,team_total,,,
3,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,under,away,20.5,-115,team_total,,,
4,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,home,-4.0,-111,spread,,,
5,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,home,,-210,moneyline,,,
6,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,over,home,24.5,-115,team_total,,,
7,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,under,home,24.5,-115,team_total,,,
8,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,over,,46.0,-110,total,,,
9,Game,490273085,new orleans saints(away) vs los angeles rams(home),NFL,under,,46.0,-110,total,,,
10,1st Half,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,away,2.5,100,spread,,,
14,1st Half,490273085,new orleans saints(away) vs los angeles rams(home),NFL,,home,-2.5,-120,spread,,,
18,1st Half,490273085,new orleans saints(away) vs los angeles rams(home),NFL,over,,21.5,-125,total,,,
19,1st Half,490273085,new orleans saints(away) vs los angeles rams(home),NFL,under,,21.5,105,total,,,
0,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,20.5,-105,Player Props,Carries,1.95,Kyren Williams
1,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,20.5,-123,Player Props,Carries,1.81,Kyren Williams
2,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,35.5,-114,Player Props,Pass Attempts,1.88,Matthew Stafford
3,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,35.5,-114,Player Props,Pass Attempts,1.88,Matthew Stafford
4,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,21.5,-119,Player Props,Pass Completions,1.84,Matthew Stafford
5,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,21.5,-109,Player Props,Pass Completions,1.92,Matthew Stafford
6,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,-118,Player Props,Pass Interceptions,1.85,Matthew Stafford
7,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,0.5,-110,Player Props,Pass Interceptions,1.91,Matthew Stafford
8,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,-135,Player Props,Passing TDs,1.74,Matthew Stafford
9,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,1.5,104,Player Props,Passing TDs,2.04,Matthew Stafford
10,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,136,Player Props,Passing TDs,2.36,Derek Carr
11,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,1.5,-179,Player Props,Passing TDs,1.56,Derek Carr
12,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,218.5,-114,Player Props,Passing Yards,1.88,Derek Carr
13,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,218.5,-114,Player Props,Passing Yards,1.88,Derek Carr
14,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,247.5,-112,Player Props,Passing Yards,1.89,Matthew Stafford
15,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,247.5,-115,Player Props,Passing Yards,1.87,Matthew Stafford
16,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,29.5,-114,Player Props,Receiving Yards,1.88,Tyler Higbee
