,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
488,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total (3-Way OF),over,Neither,Over 2,2.0,3.0,
489,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total (3-Way OF),under,Neither,Under 2,2.0,2.2,
490,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total (3-Way OF),,Neither,Exactly 2,2.0,3.2,
491,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Draw 0-0,0.0,5.75,
492,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 1-0,0.0,5.25,
493,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 2-0,0.0,9.0,
494,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 3-0,0.0,18.0,
495,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 1-0,0.0,6.0,
496,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 2-0,0.0,11.5,
497,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 3-0,0.0,23.0,
498,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Draw 1-1,0.0,6.0,
499,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 2-1,0.0,11.0,
500,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 3-1,0.0,21.0,
501,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 2-1,0.0,11.5,
502,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 3-1,0.0,26.0,
503,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Draw 2-2,0.0,18.0,
504,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Edmonton Oilers 3-2,0.0,36.0,
505,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Florida Panthers 3-2,0.0,46.0,
506,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Correct Score OF,,Neither,Draw 3-3,0.0,101.0,
507,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Double Chance OF,,Neither,Edmonton Oilers Or Tie,0.0,1.4,
508,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Double Chance OF,,Neither,Florida Panthers Or Tie,0.0,1.5556,
509,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Double Chance OF,,Neither,Edmonton Oilers Or Florida Panthers,0.0,1.3637,
510,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Goals Odd/even OF,,Neither,Odd,0.0,1.8696,
511,Florida Panthers(away) vs Edmonton Oilers(home),NHL,3rd Period Goals Odd/even OF,,Neither,Even,0.0,1.8696,
512,Florida Panthers(away) vs Edmonton Oilers(home),NHL,1st Team To Score OF,,Neither,Edmonton Oilers,0.0,1.8,
513,Florida Panthers(away) vs Edmonton Oilers(home),NHL,1st Team To Score OF,,Neither,Florida Panthers,0.0,1.9524,
514,Florida Panthers(away) vs Edmonton Oilers(home),NHL,1st Team To Score OF,,Neither,No Goal,0.0,61.0,
515,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Highest Scoring Period OF,,Neither,First,0.0,5.0,
516,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Highest Scoring Period OF,,Neither,Second,0.0,3.1,
517,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Highest Scoring Period OF,,Neither,Third,0.0,3.3,
518,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Highest Scoring Period OF,,Neither,Tie,0.0,3.3,
519,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Tied After Regulation Time OF,,Neither,Yes,0.0,3.6,
520,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Tied After Regulation Time OF,,Neither,No,0.0,1.2667,
