,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
44,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 6,6.0,8.5,
45,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 7,7.0,13.0,
46,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 8+,7.5,13.0,
47,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 5,5.0,3.8,
48,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 6,6.0,8.5,
49,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 7,7.0,4.3,
50,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 8,8.0,6.5,
51,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 9,9.0,6.0,
52,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 10,10.0,12.0,
53,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 11,11.0,10.0,
54,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 12,12.0,19.0,
55,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 13,13.0,19.0,
56,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 14,14.0,29.0,
57,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 15+,14.5,19.0,
58,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even OF,,Neither,Odd,0.0,1.3637,
59,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even OF,,Neither,Even,0.0,3.0,
60,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - AWAYTEAM OF,,Away,Odd,0.0,2.75,
61,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - AWAYTEAM OF,,Away,Even,0.0,1.4167,
62,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - HOMETEAM OF,,Home,Odd,0.0,1.5264,
63,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - HOMETEAM OF,,Home,Even,0.0,2.45,
64,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -5.5,-5.5,21.0,
65,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +5.5,5.5,1.0112,
66,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -4.5,-4.5,14.0,
67,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +4.5,4.5,1.0286,
68,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -3.5,-3.5,9.5,
69,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +3.5,3.5,1.0601,
70,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -2.5,-2.5,5.25,
71,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +2.5,2.5,1.1429,
72,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +1.5,1.5,1.1334,
73,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -1.5,-1.5,5.5,
74,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +2.5,2.5,1.0601,
75,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -2.5,-2.5,9.5,
76,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +3.5,3.5,1.025,
77,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -3.5,-3.5,15.0,
78,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -1.5,-1.5,2.85,
79,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +1.5,1.5,1.4,
80,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Home,Chicago Cubs -2,-2.0,5.5,
81,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Away,Cincinnati Reds +2,2.0,1.4167,
82,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Neither,Draw -2,-2.0,5.5,
83,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Home,Chicago Cubs +1,1.0,1.3077,
84,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Away,Cincinnati Reds -1,-1.0,6.0,
85,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Neither,Draw +1,1.0,7.0,
86,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Home,Chicago Cubs -1,-1.0,2.75,
87,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Away,Cincinnati Reds +1,1.0,3.3,
88,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Neither,Draw -1,-1.0,2.2,
89,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 1 To 2,0.0,1.625,
90,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 3 To 4,0.0,6.0,
91,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 5 To 6,0.0,18.0,
92,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 7 Or More,0.0,36.0,
93,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 1 To 2,0.0,4.3,
94,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 3 To 4,0.0,13.0,
95,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 5 To 6,0.0,29.0,
96,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 7 Or More,0.0,61.0,
97,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 1,0.0,2.2,
98,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 2,0.0,5.25,
99,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 3,0.0,9.0,
100,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 4,0.0,15.0,
101,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 5 Or More,0.0,14.0,
102,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 1,0.0,6.0,
103,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 2,0.0,11.5,
104,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 3,0.0,18.0,
105,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 4,0.0,23.0,
106,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 5 Or More,0.0,23.0,
107,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,C. Bellinger Over 0.5,0.5,18.0,
108,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,C. Bellinger Under 0.5,0.5,1.0167,
109,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,C. Morel Over 0.5,0.5,13.0,
110,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,C. Morel Under 0.5,0.5,1.0334,
111,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,D. Swanson Over 0.5,0.5,18.0,
112,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,D. Swanson Under 0.5,0.5,1.0167,
113,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Away,E. De La Cruz Over 0.5,0.5,18.0,
114,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Away,E. De La Cruz Under 0.5,0.5,1.0167,
115,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,I. Happ Over 1.5,1.5,23.0,
116,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,I. Happ Under 1.5,1.5,1.01,
117,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Away,J. Candelario Over 0.5,0.5,16.0,
118,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Away,J. Candelario Under 0.5,0.5,1.02,
119,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Away,J. Fraley Over 0.5,0.5,29.0,
120,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Away,J. Fraley Under 0.5,0.5,1.0067,
121,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,M. Tauchman Over 0.5,0.5,31.0,
122,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,M. Tauchman Under 0.5,0.5,1.0058,
123,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Away,S. Steer Over 0.5,0.5,21.0,
124,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Away,S. Steer Under 0.5,0.5,1.0125,
125,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,S. Suzuki Over 0.5,0.5,13.0,
126,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,S. Suzuki Under 0.5,0.5,1.0334,
127,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Away,T. Stephenson Over 0.5,0.5,23.0,
128,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Away,T. Stephenson Under 0.5,0.5,1.01,
129,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - First 7 Innings OF,,Home,Chicago Cubs,0.0,1.0667,
130,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - First 7 Innings OF,,Away,Cincinnati Reds,0.0,9.0,
131,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - First 7 Innings OF,,Home,Chicago Cubs -1.5,-1.5,3.6,
132,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - First 7 Innings OF,,Away,Cincinnati Reds +1.5,1.5,1.2667,
133,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - First 7 Innings OF,over,Neither,Over 5.5,5.5,2.05,
134,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - First 7 Innings OF,under,Neither,Under 5.5,5.5,1.7143,
135,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - First 7 Innings - HOMETEAM OF,over,Home,Over 3.5,3.5,3.2,
136,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - First 7 Innings - HOMETEAM OF,under,Home,Under 3.5,3.5,1.3334,
137,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Leader After 7 Innings OF,,Home,Chicago Cubs,0.0,1.16,
138,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Leader After 7 Innings OF,,Away,Cincinnati Reds,0.0,9.5,
139,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Leader After 7 Innings OF,,Neither,Draw,0.0,8.0,
140,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Home,Chicago Cubs,0.0,1.4167,
141,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Away,Cincinnati Reds,0.0,4.5,
142,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Neither,Draw,0.0,5.75,
143,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Will Extra Innings Be Played - Yes/No OF,,Neither,Yes,0.0,5.75,
144,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Will Extra Innings Be Played - Yes/No OF,,Neither,No,0.0,1.125,
145,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,10 To 12,0.0,3.8,
146,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,13 To 15,0.0,2.15,
147,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,16 To 18,0.0,3.6,
148,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,19 To 21,0.0,11.0,
149,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,22 Or More,21.5,26.0,
150,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Home,Chicago Cubs,0.0,2.75,
151,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Away,Cincinnati Reds,0.0,1.9524,
152,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Neither,Draw,0.0,4.1,
153,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 4 To 5,0.0,7.0,
154,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 6 To 7,0.0,2.1,
155,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 8 To 9,0.0,3.1,
156,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 10 To 11,0.0,7.0,
157,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 12 To 13,0.0,18.0,
158,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 14 Or More,13.5,71.0,
159,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 4 To 5,0.0,5.5,
160,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 6 To 7,0.0,1.8696,
161,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 8 To 9,0.0,3.3,
162,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 10 To 11,0.0,11.0,
163,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 12 To 13,0.0,46.0,
164,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 14 Or More,13.5,126.0,
165,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.0715,
166,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,5.0,
167,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,6.0,
168,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.3637,
169,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,2.1,
170,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,3.0,
171,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,3.8,
172,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,3.1,
173,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,4.0,
174,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.9524,
175,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,9.5,
176,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,9.0,
177,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.1429,
178,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,2.6,
179,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,1.5264,
180,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,21.0,
181,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,29.0,
182,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.008,
183,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,6.0,
184,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,3.6,
185,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.5,
186,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,21.0,
187,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,9.5,
188,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.0715,
189,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,3.8,
190,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,2.5,
191,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,2.4,
192,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,46.0,
193,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,18.0,
194,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.0334,
195,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,2.75,
196,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,1.8696,
197,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,4.75,
198,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,11.0,
199,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,6.0,
200,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.2,
201,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 3-2,0.0,3.8,
