Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Home,Chicago Cubs,0.0,4.1,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Away,Cincinnati Reds,0.0,1.5715,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline - 3-Way OF,,Neither,Draw,0.0,4.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Will Extra Innings Be Played - Yes/No OF,,Neither,Yes,0.0,4.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Will Extra Innings Be Played - Yes/No OF,,Neither,No,0.0,1.1819,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,10 To 12,0.0,5.75,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,13 To 15,0.0,1.8696,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,16 To 18,0.0,3.2,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,19 To 21,0.0,10.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands OF,,Neither,22 Or More,21.5,31.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Home,Chicago Cubs,0.0,3.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Away,Cincinnati Reds,0.0,1.6897,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Team With Most Hits - 3-Way OF,,Neither,Draw,0.0,4.75,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 6 To 7,0.0,2.05,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 8 To 9,0.0,2.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 10 To 11,0.0,6.5,
