Teams_x,League_x,Category_x,Designation_x,Side_x,Name_x,Points_x,PB Decimal Odds,PB American Odds,Key,Period,GameId,Teams_y,League_y,Designation_y,Side_y,Points_y,BO Odds,BO dec_odds,Category_y,Name_y,Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Run Line,,Home,Colorado Rockies +1.5,1.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Run Line,,Away,Kansas City Royals -1.5,-1.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs OF,over,Neither,Over 10.5,10.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs OF,under,Neither,Under 10.5,10.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 5.5,5.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 5.5,5.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals(away) vs Colorado Rockies(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Moneyline OF,,Home,Minnesota Twins,0.0,1.625,-160.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Moneyline OF,,Away,Houston Astros,0.0,2.3,130.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Run Line,,Home,Minnesota Twins -1.5,-1.5,2.4,140.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Run Line,,Away,Houston Astros +1.5,1.5,1.5883,-170.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs OF,over,Neither,Over 8,8.0,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs OF,under,Neither,Under 8,8.0,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Houston Astros(away) vs Minnesota Twins(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Moneyline OF,,Home,Oakland Athletics,0.0,2.4,140.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Moneyline OF,,Away,Baltimore Orioles,0.0,1.5883,-170.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Run Line,,Home,Oakland Athletics +1.5,1.5,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Run Line,,Away,Baltimore Orioles -1.5,-1.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles(away) vs Oakland Athletics(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Moneyline OF,,Home,Seattle Mariners,0.0,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Moneyline OF,,Away,Toronto Blue Jays,0.0,2.15,115.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Run Line,,Home,Seattle Mariners -1.5,-1.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Run Line,,Away,Toronto Blue Jays +1.5,1.5,1.5264,-190.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs OF,over,Neither,Over 7.5,7.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs OF,under,Neither,Under 7.5,7.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 3.5,3.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
